State,County FIPS Code,County or Equivalent,Seat
Kentucky,21197,Powell County,Stanton
Kentucky,21199,Pulaski County,Somerset
Kentucky,21201,Robertson County,Mount Olivet
Kentucky,21203,Rockcastle County,Mount Vernon
Kentucky,21205,Rowan County,Morehead
Kentucky,21207,Russell County,Jamestown
Kentucky,21209,Scott County,Georgetown
Kentucky,21211,Shelby County,Shelbyville
Kentucky,21213,Simpson County,Franklin
Kentucky,21215,Spencer County,Taylorsville
Kentucky,21217,Taylor County,Campbellsville
Kentucky,21219,Todd County,Elkton
Kentucky,21221,Trigg County,Cadiz
Kentucky,21223,Trimble County,Bedford
Kentucky,21225,Union County,Morganfield
Kentucky,21227,Warren County,Bowling Green
Kentucky,21229,Washington County,Springfield
Kentucky,21231,Wayne County,Monticello
Kentucky,21233,Webster County,Dixon
Kentucky,21235,Whitley County,Williamsburg
Kentucky,21237,Wolfe County,Campton
Kentucky,21239,Woodford County,Versailles
Louisiana,22001,Acadia Parish,Crowley
Louisiana,22003,Allen Parish,Oberlin
Louisiana,22005,Ascension Parish,Donaldsonville
Louisiana,22007,Assumption Parish,Napoleonville
Louisiana,22009,Avoyelles Parish,Marksville
Louisiana,22011,Beauregard Parish,DeRidder
Louisiana,22013,Bienville Parish,Arcadia
Louisiana,22015,Bossier Parish,Benton
Louisiana,22017,Caddo Parish,Shreveport
Louisiana,22019,Calcasieu Parish,Lake Charles
Louisiana,22021,Caldwell Parish,Columbia
Louisiana,22023,Cameron Parish,Cameron
Louisiana,22025,Catahoula Parish,Harrisonburg
Louisiana,22027,Claiborne Parish,Homer
Louisiana,22029,Concordia Parish,Vidalia
Louisiana,22031,De Soto Parish,Mansfield
Louisiana,22033,East Baton Rouge Parish,Baton Rouge
Louisiana,22035,East Carroll Parish,Lake Providence
Louisiana,22037,East Feliciana Parish,Clinton
Louisiana,22039,Evangeline Parish,Ville Platte
Louisiana,22041,Franklin Parish,Winnsboro
Louisiana,22043,Grant Parish,Colfax
Louisiana,22045,Iberia Parish,New Iberia
Louisiana,22047,Iberville Parish,Plaquemine
Louisiana,22049,Jackson Parish,Jonesboro
Louisiana,22053,Jefferson Davis Parish,Jennings
Louisiana,22051,Jefferson Parish,Gretna
Louisiana,22059,La Salle Parish,Jena
Louisiana,22055,Lafayette Parish,Lafayette
Louisiana,22057,Lafourche Parish,Thibodaux
Louisiana,22061,Lincoln Parish,Ruston
Louisiana,22063,Livingston Parish,Livingston
Louisiana,22065,Madison Parish,Tallulah
Louisiana,22067,Morehouse Parish,Bastrop
Louisiana,22069,Natchitoches Parish,Natchitoches
Louisiana,22071,Orleans Parish,New Orleans
Louisiana,22073,Ouachita Parish,Monroe
Louisiana,22075,Plaquemines Parish,Pointe à la Hache
Louisiana,22077,Pointe Coupee Parish,New Roads
Louisiana,22079,Rapides Parish,Alexandria
Louisiana,22081,Red River Parish,Coushatta
Louisiana,22083,Richland Parish,Rayville
Louisiana,22085,Sabine Parish,Many
Louisiana,22087,St. Bernard Parish,Chalmette
Louisiana,22089,St. Charles Parish,Hahnville
Louisiana,22091,St. Helena Parish,Greensburg
Louisiana,22093,St. James Parish,Convent
Louisiana,22095,St. John the Baptist Parish,Edgard
Louisiana,22097,St. Landry Parish,Opelousas
Louisiana,22099,St. Martin Parish,St. Martinville
Louisiana,22101,St. Mary Parish,Franklin
Louisiana,22103,St. Tammany Parish,Covington
Louisiana,22105,Tangipahoa Parish,Amite City
Louisiana,22107,Tensas Parish,St. Joseph
Louisiana,22109,Terrebonne Parish,Houma
Louisiana,22111,Union Parish,Farmerville
Louisiana,22113,Vermilion Parish,Abbeville
Louisiana,22115,Vernon Parish,Leesville
Louisiana,22117,Washington Parish,Franklinton
Louisiana,22119,Webster Parish,Minden
Louisiana,22121,West Baton Rouge Parish,Port Allen
Louisiana,22123,West Carroll Parish,Oak Grove
Louisiana,22125,West Feliciana Parish,St. Francisville
Louisiana,22127,Winn Parish,Winnfield
Maine,23001,Androscoggin County,Auburn
Maine,23003,Aroostook County,Houlton
Maine,23005,Cumberland County,Portland
Maine,23007,Franklin County,Farmington
Maine,23009,Hancock County,Ellsworth
Maine,23011,Kennebec County,Augusta
Maine,23013,Knox County,Rockland
Maine,23015,Lincoln County,Wiscasset
Maine,23017,Oxford County,Paris
Maine,23019,Penobscot County,Bangor
Maine,23021,Piscataquis County,Dover-Foxcroft
Maine,23023,Sagadahoc County,Bath
Maine,23025,Somerset County,Skowhegan
Maine,23027,Waldo County,Belfast
Maine,23029,Washington County,Machias
Maine,23031,York County,Alfred
Maryland,24001,Allegany County,Cumberland
Maryland,24003,Anne Arundel County,Annapolis
Maryland,24005,Baltimore County,Towson
Maryland,24009,Calvert County,Prince Frederick
Maryland,24011,Caroline County,Denton
Maryland,24013,Carroll County,Westminster
Maryland,24015,Cecil County,Elkton
Maryland,24017,Charles County,La Plata
Maryland,24019,Dorchester County,Cambridge
Maryland,24021,Frederick County,Frederick
Maryland,24023,Garrett County,Oakland
Maryland,24025,Harford County,Bel Air
Maryland,24027,Howard County,Ellicott City
Maryland,24029,Kent County,Chestertown
Maryland,24029,Kent County,Chestertown
Maryland,24031,Montgomery County,Rockville
Maryland,24033,Prince George's County,Upper Marlboro
Maryland,24035,Queen Anne's County,Centreville
Maryland,24039,Somerset County,Princess Anne
Maryland,24037,St. Mary's County,Leonardtown
Maryland,24041,Talbot County,Easton
Maryland,24043,Washington County,Hagerstown
Maryland,24045,Wicomico County,Salisbury
Maryland,24047,Worcester County,Snow Hill
Massachusetts,25001,Barnstable County,Barnstable
Massachusetts,25003,Berkshire County,Pittsfield
Massachusetts,25005,Bristol County,Taunton
Massachusetts,25005,Bristol County,Taunton
Massachusetts,25007,Dukes County,Edgartown
Massachusetts,25009,Essex County,Lawrence
Massachusetts,25011,Franklin County,Greenfield
Massachusetts,25013,Hampden County,Springfield
Massachusetts,25015,Hampshire County,Northampton
Massachusetts,25017,Middlesex County,Lowell
Massachusetts,25019,Nantucket County,Nantucket
Massachusetts,25021,Norfolk County,Dedham
Massachusetts,25023,Plymouth County,Brockton
Massachusetts,25025,Suffolk County,Boston
Massachusetts,25027,Worcester County,Worcester
Michigan,26001,Alcona County,Harrisville
Michigan,26003,Alger County,Munising
Michigan,26005,Allegan County,Allegan
Michigan,26007,Alpena County,Alpena
Michigan,26009,Antrim County,Bellaire
Michigan,26011,Arenac County,Standish
Michigan,26013,Baraga County,L'Anse
Michigan,26015,Barry County,Hastings
Michigan,26017,Bay County,Bay City
Michigan,26019,Benzie County,Beulah
Michigan,26021,Berrien County,St. Joseph
Michigan,26023,Branch County,Coldwater
Michigan,26025,Calhoun County,Marshall
Michigan,26027,Cass County,Cassopolis
Michigan,26029,Charlevoix County,Charlevoix
Michigan,26031,Cheboygan County,Cheboygan
Michigan,26033,Chippewa County,Sault Ste. Marie
Michigan,26035,Clare County,Harrison
Michigan,26037,Clinton County,St. Johns
Michigan,26039,Crawford County,Grayling
Michigan,26041,Delta County,Escanaba
Michigan,26043,Dickinson County,Iron Mountain
Michigan,26045,Eaton County,Charlotte
Michigan,26047,Emmet County,Petoskey
Michigan,26049,Genesee County,Flint
Michigan,26051,Gladwin County,Gladwin
Michigan,26053,Gogebic County,Bessemer
Michigan,26055,Grand Traverse County,Traverse City
Michigan,26057,Gratiot County,Ithaca
Michigan,26059,Hillsdale County,Hillsdale
Michigan,26061,Houghton County,Houghton
Michigan,26063,Huron County,Bad Axe
Michigan,26065,Ingham County,Mason
Michigan,26067,Ionia County,Ionia
Michigan,26069,Iosco County,Tawas City
Michigan,26071,Iron County,Crystal Falls
Michigan,26073,Isabella County,Mount Pleasant
Michigan,26075,Jackson County,Jackson
Michigan,26077,Kalamazoo County,Kalamazoo
Michigan,26079,Kalkaska County,Kalkaska
Michigan,26081,Kent County,Grand Rapids
Michigan,26083,Keweenaw County,Eagle River
Michigan,26085,Lake County,Baldwin
Michigan,26087,Lapeer County,Lapeer
Michigan,26089,Leelanau County,Suttons Bay
Michigan,26091,Lenawee County,Adrian
Michigan,26093,Livingston County,Howell
Michigan,26095,Luce County,Newberry
Michigan,26097,Mackinac County,St. Ignace
Michigan,26099,Macomb County,Mount Clemens
Michigan,26101,Manistee County,Manistee
Michigan,26103,Marquette County,Marquette
Michigan,26105,Mason County,Ludington
Michigan,26107,Mecosta County,Big Rapids
Michigan,26109,Menominee County,Menominee
Michigan,26111,Midland County,Midland
Michigan,26113,Missaukee County,Lake City
Michigan,26115,Monroe County,Monroe
Michigan,26117,Montcalm County,Stanton
Michigan,26119,Montmorency County,Atlanta
Michigan,26121,Muskegon County,Muskegon
Michigan,26123,Newaygo County,White Cloud
Michigan,26125,Oakland County,Pontiac
Michigan,26127,Oceana County,Hart
Michigan,26129,Ogemaw County,West Branch
Michigan,26131,Ontonagon County,Ontonagon
Michigan,26133,Osceola County,Reed City
Michigan,26135,Oscoda County,Mio
Michigan,26137,Otsego County,Gaylord
Michigan,26139,Ottawa County,Grand Haven
Michigan,26141,Presque Isle County,Rogers City
Michigan,26143,Roscommon County,Roscommon
Michigan,26145,Saginaw County,Saginaw
Michigan,26151,Sanilac County,Sandusky
Michigan,26153,Schoolcraft County,Manistique
Michigan,26155,Shiawassee County,Corunna
Michigan,26147,St. Clair County,Port Huron
Michigan,26149,St. Joseph County,Centreville
Michigan,26157,Tuscola County,Caro
Michigan,26159,Van Buren County,Paw Paw
Michigan,26161,Washtenaw County,Ann Arbor
Michigan,26163,Wayne County,Detroit
Michigan,26165,Wexford County,Cadillac
Minnesota,27001,Aitkin County,Aitkin
Minnesota,27003,Anoka County,Anoka
Minnesota,27005,Becker County,Detroit Lakes
Minnesota,27007,Beltrami County,Bemidji
Minnesota,27009,Benton County,Foley
Minnesota,27011,Big Stone County,Ortonville
Minnesota,27013,Blue Earth County,Mankato
Minnesota,27015,Brown County,New Ulm
Minnesota,27017,Carlton County,Carlton
Minnesota,27019,Carver County,Chaska
Minnesota,27021,Cass County,Walker
Minnesota,27023,Chippewa County,Montevideo
Minnesota,27025,Chisago County,Center City
Minnesota,27027,Clay County,Moorhead
Minnesota,27029,Clearwater County,Bagley
Minnesota,27031,Cook County,Grand Marais
Minnesota,27033,Cottonwood County,Windom
Minnesota,27035,Crow Wing County,Brainerd
Minnesota,27037,Dakota County,Hastings
Minnesota,27039,Dodge County,Mantorville
Minnesota,27041,Douglas County,Alexandria
Minnesota,27043,Faribault County,Blue Earth
Minnesota,27045,Fillmore County,Preston
Minnesota,27047,Freeborn County,Albert Lea
Minnesota,27049,Goodhue County,Red Wing
Minnesota,27051,Grant County,Elbow Lake
Minnesota,27053,Hennepin County,Minneapolis
Minnesota,27055,Houston County,Caledonia
Minnesota,27057,Hubbard County,Park Rapids
Minnesota,27059,Isanti County,Cambridge
Minnesota,27061,Itasca County,Grand Rapids
Minnesota,27063,Jackson County,Jackson
Minnesota,27065,Kanabec County,Mora
Minnesota,27067,Kandiyohi County,Willmar
Minnesota,27069,Kittson County,Hallock
Minnesota,27071,Koochiching County,International Falls
Minnesota,27073,Lac qui Parle County,Madison
Minnesota,27075,Lake County,Two Harbors
Minnesota,27077,Lake of the Woods County,Baudette
Minnesota,27079,Le Sueur County,Le Center
Minnesota,27081,Lincoln County,Ivanhoe
Minnesota,27083,Lyon County,Marshall
Minnesota,27087,Mahnomen County,Mahnomen
Minnesota,27089,Marshall County,Warren
Minnesota,27091,Martin County,Fairmont
Minnesota,27085,McLeod County,Glencoe
Minnesota,27093,Meeker County,Litchfield
Minnesota,27095,Mille Lacs County,Milaca
Minnesota,27097,Morrison County,Little Falls
Minnesota,27099,Mower County,Austin
Minnesota,27101,Murray County,Slayton
Minnesota,27103,Nicollet County,St. Peter
Minnesota,27105,Nobles County,Worthington
Minnesota,27107,Norman County,Ada
Minnesota,27109,Olmsted County,Rochester
Minnesota,27111,Otter Tail County,Fergus Falls
Minnesota,27113,Pennington County,Thief River Falls
Minnesota,27115,Pine County,Pine City
Minnesota,27117,Pipestone County,Pipestone
Minnesota,27119,Polk County,Crookston
Minnesota,27121,Pope County,Glenwood
Minnesota,27123,Ramsey County,Saint Paul
Minnesota,27125,Red Lake County,Red Lake Falls
Minnesota,27127,Redwood County,Redwood Falls
Minnesota,27129,Renville County,Olivia
Minnesota,27131,Rice County,Faribault
Minnesota,27133,Rock County,Luverne
Minnesota,27135,Roseau County,Roseau
Minnesota,27137,Saint Louis County,Duluth
Minnesota,27139,Scott County,Shakopee
Minnesota,27141,Sherburne County,Elk River
Minnesota,27143,Sibley County,Gaylord
Minnesota,27145,Stearns County,St. Cloud
Minnesota,27147,Steele County,Owatonna
Minnesota,27149,Stevens County,Morris
Minnesota,27151,Swift County,Benson
Minnesota,27153,Todd County,Long Prairie
Minnesota,27155,Traverse County,Wheaton
Minnesota,27157,Wabasha County,Wabasha
Minnesota,27159,Wadena County,Wadena
Minnesota,27161,Waseca County,Waseca
Minnesota,27163,Washington County,Stillwater
Minnesota,27165,Watonwan County,St. James
Minnesota,27167,Wilkin County,Breckenridge
Minnesota,27169,Winona County,Winona
Minnesota,27171,Wright County,Buffalo
Minnesota,27173,Yellow Medicine County,Granite Falls
Mississippi,28001,Adams County,Natchez
Mississippi,28003,Alcorn County,Corinth
Mississippi,28005,Amite County,Liberty
Mississippi,28007,Attala County,Kosciusko
Mississippi,28009,Benton County,Ashland
Mississippi,28011,Bolivar County,Cleveland
Mississippi,28013,Calhoun County,Pittsboro
Mississippi,28015,Carroll County,Carrolton
Mississippi,28017,Chickasaw County,Houston
Mississippi,28019,Choctaw County,Ackerman
Mississippi,28021,Claiborne County,Port Gibson
Mississippi,28023,Clarke County,Quitman
Mississippi,28025,Clay County,West Point
Mississippi,28027,Coahoma County,Clarksdale
Mississippi,28029,Copiah County,Hazlehurst
Mississippi,28031,Covington County,Collins
Mississippi,28033,DeSoto County,Hernando
Mississippi,28035,Forrest County,Hattiesburg
Mississippi,28037,Franklin County,Meadville
Mississippi,28039,George County,Lucedale
Mississippi,28041,Greene County,Leakesville
Mississippi,28043,Grenada County,Grenada
Mississippi,28045,Hancock County,Bay St. Louis
Mississippi,28047,Harrison County,Biloxi
Mississippi,28049,Hinds County,Jackson
Mississippi,28051,Holmes County,Lexington
Mississippi,28053,Humphreys County,Belzoni
Mississippi,28055,Issaquena County,Mayersville
Mississippi,28057,Itawamba County,Fulton
Mississippi,28059,Jackson County,Pascagoula
Mississippi,28061,Jasper County,Paulding
Mississippi,28063,Jefferson County,Fayette
Mississippi,28065,Jefferson Davis County,Prentiss
Mississippi,28067,Jones County,Laurel
Mississippi,28069,Kemper County,De Kalb
Mississippi,28071,Lafayette County,Oxford
Mississippi,28073,Lamar County,Purvis
Mississippi,28075,Lauderdale County,Meridian
Mississippi,28077,Lawrence County,Monticello
Mississippi,28079,Leake County,Carthage
Mississippi,28081,Lee County,Tupelo
Mississippi,28083,Leflore County,Greenwood
Mississippi,28085,Lincoln County,Brookhaven
Mississippi,28087,Lowndes County,Columbus
Mississippi,28089,Madison County,Canton
Mississippi,28091,Marion County,Columbia
Mississippi,28093,Marshall County,Holly Springs
Mississippi,28095,Monroe County,Aberdeen
Mississippi,28097,Montgomery County,Winona
Mississippi,28099,Neshoba County,Philadelphia
Mississippi,28101,Newton County,Decatur
Mississippi,28103,Noxubee County,Macon
Mississippi,28105,Oktibbeha County,Starkville
Mississippi,28107,Panola County,Batesville
Mississippi,28109,Pearl River County,Poplarville
Mississippi,28111,Perry County,New Augusta
Mississippi,28113,Pike County,Magnolia
Mississippi,28115,Pontotoc County,Pontotoc
Mississippi,28117,Prentiss County,Booneville
Mississippi,28119,Quitman County,Marks
Mississippi,28121,Rankin County,Brandon
Mississippi,28123,Scott County,Forest
Mississippi,28125,Sharkey County,Rolling Fork
Mississippi,28127,Simpson County,Mendenhall
Mississippi,28129,Smith County,Raleigh
Mississippi,28131,Stone County,Wiggins
Mississippi,28133,Sunflower County,Indianola
Mississippi,28135,Tallahatchie County,Charleston
Mississippi,28137,Tate County,Senatobia
Mississippi,28139,Tippah County,Ripley
Mississippi,28141,Tishomingo County,Iuka
Mississippi,28143,Tunica County,Tunica
Mississippi,28145,Union County,New Albany
Mississippi,28147,Walthall County,Tylertown
Mississippi,28149,Warren County,Vicksburg
Mississippi,28151,Washington County,Greenville
Mississippi,28153,Wayne County,Waynesboro
Mississippi,28155,Webster County,Walthall
Mississippi,28157,Wilkinson County,Woodville
Mississippi,28159,Winston County,Louisville
Mississippi,28161,Yalobusha County,Water Valley
Mississippi,28163,Yazoo County,Yazoo City
Missouri,29001,Adair County,Kirksville
Missouri,29003,Andrew County,Savannah
Missouri,29005,Atchison County,Rock Port
Missouri,29007,Audrain County,Mexico
Missouri,29009,Barry County,Cassville
Missouri,29011,Barton County,Lamar
Missouri,29013,Bates County,Butler
Missouri,29015,Benton County,Warsaw
Missouri,29017,Bollinger County,Marble Hill
Missouri,29019,Boone County,Columbia
Missouri,29021,Buchanan County,St. Joseph
Missouri,29023,Butler County,Poplar Bluff
Missouri,29025,Caldwell County,Kingston
Missouri,29027,Callaway County,Fulton
Missouri,29029,Camden County,Camdenton
Missouri,29031,Cape Girardeau County,Jackson
Missouri,29033,Carroll County,Carrollton
Missouri,29035,Carter County,Van Buren
Missouri,29037,Cass County,Harrisonville
Missouri,29039,Cedar County,Stockton
Missouri,29041,Chariton County,Keytesville
Missouri,29043,Christian County,Ozark
Missouri,29045,Clark County,Kahoka
Missouri,29047,Clay County,Liberty
Missouri,29049,Clinton County,Plattsburg
Missouri,29051,Cole County,Jefferson City
Missouri,29053,Cooper County,Boonville
Missouri,29055,Crawford County,Steelville
Missouri,29057,Dade County,Greenfield
Missouri,29059,Dallas County,Buffalo
Missouri,29061,Daviess County,Gallatin
Missouri,29063,DeKalb County,Maysville
Missouri,29065,Dent County,Salem
Missouri,29067,Douglas County,Ava
Missouri,29069,Dunklin County,Kennett
Missouri,29071,Franklin County,Union
Missouri,29073,Gasconade County,Hermann
Missouri,29075,Gentry County,Albany
Missouri,29077,Greene County,Springfield
Missouri,29079,Grundy County,Trenton
Missouri,29081,Harrison County,Bethany
Missouri,29083,Henry County,Clinton
Missouri,29085,Hickory County,Hermitage
Missouri,29087,Holt County,Oregon
Missouri,29089,Howard County,Fayette
Missouri,29091,Howell County,West Plains
Missouri,29093,Iron County,Ironton
Missouri,29095,Jackson County,Independence
Missouri,29097,Jasper County,Carthage
Missouri,29099,Jefferson County,Hillsboro
Missouri,29101,Johnson County,Warrensburg
Missouri,29103,Knox County,Edina
Missouri,29105,Laclede County,Lebanon
Missouri,29107,Lafayette County,Lexington
Missouri,29109,Lawrence County,Mount Vernon
Missouri,29111,Lewis County,Monticello
Missouri,29113,Lincoln County,Troy
Missouri,29115,Linn County,Linneus
Missouri,29117,Livingston County,Chillicothe
Missouri,29121,Macon County,Macon
Missouri,29123,Madison County,Fredericktown
Missouri,29125,Maries County,Vienna
Missouri,29127,Marion County,Palmyra
Missouri,29119,McDonald County,Pineville
Missouri,29129,Mercer County,Princeton
Missouri,29131,Miller County,Tuscumbia
Missouri,29133,Mississippi County,Charleston
Missouri,29135,Moniteau County,California
Missouri,29137,Monroe County,Paris
Missouri,29139,Montgomery County,Montgomery City
Missouri,29141,Morgan County,Versailles
Missouri,29143,New Madrid County,New Madrid
Missouri,29145,Newton County,Neosho
Missouri,29147,Nodaway County,Maryville
Missouri,29149,Oregon County,Alton
Missouri,29151,Osage County,Linn
Missouri,29153,Ozark County,Gainesville
Missouri,29155,Pemiscot County,Caruthersville
Missouri,29157,Perry County,Perryville
Missouri,29159,Pettis County,Sedalia
Missouri,29161,Phelps County,Rolla
Missouri,29163,Pike County,Bowling Green
Missouri,29163,Pike County,Bowling Green
Missouri,29165,Platte County,Platte City
Missouri,29167,Polk County,Bolivar
Missouri,29169,Pulaski County,Waynesville
Missouri,29171,Putnam County,Unionville
Missouri,29173,Ralls County,New London
Missouri,29175,Randolph County,Huntsville
Missouri,29177,Ray County,Richmond
Missouri,29179,Reynolds County,Centerville
Missouri,29181,Ripley County,Doniphan
Missouri,29195,Saline County,Marshall
Missouri,29197,Schuyler County,Lancaster
Missouri,29199,Scotland County,Memphis
Missouri,29201,Scott County,Benton
Missouri,29203,Shannon County,Eminence
Missouri,29205,Shelby County,Shelbyville
Missouri,29183,St. Charles County,St. Charles
Missouri,29185,St. Clair County,Osceola
Missouri,29187,St. Francois County,Farmington
Missouri,29189,St. Louis County,Clayton
Missouri,29186,Ste. Genevieve County,Ste. Genevieve
Missouri,29207,Stoddard County,Bloomfield
Missouri,29209,Stone County,Galena
Missouri,29211,Sullivan County,Milan
Missouri,29213,Taney County,Forsyth
Missouri,29215,Texas County,Houston
Missouri,29217,Vernon County,Nevada
Missouri,29219,Warren County,Warrenton
Missouri,29221,Washington County,Potosi
Missouri,29223,Wayne County,Greenville
Missouri,29225,Webster County,Marshfield
Missouri,29227,Worth County,Grant City
Missouri,29229,Wright County,Hartville
Montana,30001,Beaverhead County,Dillon
Montana,30003,Big Horn County,Hardin
Montana,30003,Big Horn County,Hardin
Montana,30005,Blaine County,Chinook
Montana,30007,Broadwater County,Townsend
Montana,30009,Carbon County,Red Lodge
Montana,30011,Carter County,Ekalaka
Montana,30013,Cascade County,Great Falls
Montana,30015,Chouteau County,Fort Benton
Montana,30017,Custer County,Miles City
Montana,30019,Daniels County,Scobey
Montana,30021,Dawson County,Glendive
Montana,30023,Deer Lodge County,Anaconda
Montana,30025,Fallon County,Baker
Montana,30027,Fergus County,Lewistown
Montana,30029,Flathead County,Kalispell
Montana,30031,Gallatin County,Bozeman
Montana,30033,Garfield County,Jordan
Montana,30035,Glacier County,Cut Bank
Montana,30037,Golden Valley County,Ryegate
Montana,30039,Granite County,Philipsburg
Montana,30041,Hill County,Havre
Montana,30043,Jefferson County,Boulder
Montana,30045,Judith Basin County,Stanford
Montana,30047,Lake County,Polson
Montana,30049,Lewis and Clark County,Helena
Montana,30051,Liberty County,Chester
Montana,30053,Lincoln County,Libby
Montana,30057,Madison County,Virginia City
Montana,30055,McCone County,Circle
Montana,30059,Meagher County,White Sulphur Springs
Montana,30061,Mineral County,Superior
Montana,30063,Missoula County,Missoula
Montana,30065,Musselshell County,Roundup
Montana,30067,Park County,Livingston
Montana,30067,Park County,Livingston
Montana,30069,Petroleum County,Winnett
Montana,30071,Phillips County,Malta
Montana,30073,Pondera County,Conrad
Montana,30075,Powder River County,Broadus
Montana,30077,Powell County,Deer Lodge
Montana,30079,Prairie County,Terry
Montana,30081,Ravalli County,Hamilton
Montana,30083,Richland County,Sidney
Montana,30085,Roosevelt County,Wolf Point
Montana,30087,Rosebud County,Forsyth
Montana,30089,Sanders County,Thompson Falls
Montana,30091,Sheridan County,Plentywood
Montana,30093,Silver Bow County,Butte
Montana,30095,Stillwater County,Columbus
Montana,30097,Sweet Grass County,Big Timber
Montana,30099,Teton County,Choteau
Montana,30101,Toole County,Shelby
Montana,30103,Treasure County,Hysham
Montana,30105,Valley County,Glasgow
Montana,30107,Wheatland County,Harlowton
Montana,30109,Wibaux County,Wibaux
Montana,30111,Yellowstone County,Billings
Nebraska,31001,Adams County,Hastings
Nebraska,31003,Antelope County,Neligh
Nebraska,31005,Arthur County,Arthur
Nebraska,31007,Banner County,Harrisburg
Nebraska,31009,Blaine County,Brewster
Nebraska,31011,Boone County,Albion
Nebraska,31013,Box Butte County,Alliance
Nebraska,31015,Boyd County,Butte
Nebraska,31017,Brown County,Ainsworth
Nebraska,31019,Buffalo County,Kearney
Nebraska,31021,Burt County,Tekamah
Nebraska,31023,Butler County,David City
Nebraska,31025,Cass County,Plattsmouth
Nebraska,31027,Cedar County,Hartington
Nebraska,31029,Chase County,Imperial
Nebraska,31031,Cherry County,Valentine
Nebraska,31033,Cheyenne County,Sidney
Nebraska,31035,Clay County,Clay Center
Nebraska,31037,Colfax County,Schuyler
Nebraska,31039,Cuming County,West Point
Nebraska,31041,Custer County,Broken Bow
Nebraska,31043,Dakota County,Dakota City
Nebraska,31045,Dawes County,Chadron
Nebraska,31047,Dawson County,Lexington
Nebraska,31049,Deuel County,Chappell
Nebraska,31051,Dixon County,Ponca
Nebraska,31053,Dodge County,Fremont
Nebraska,31055,Douglas County,Omaha
Nebraska,31057,Dundy County,Benkelman
Nebraska,31059,Fillmore County,Geneva
Nebraska,31061,Franklin County,Franklin
Nebraska,31063,Frontier County,Stockville
Nebraska,31065,Furnas County,Beaver City
Nebraska,31067,Gage County,Beatrice
Nebraska,31069,Garden County,Oshkosh
Nebraska,31071,Garfield County,Burwell
Nebraska,31073,Gosper County,Elwood
Nebraska,31075,Grant County,Hyannis
Nebraska,31077,Greeley County,Greeley
Nebraska,31079,Hall County,Grand Island
Nebraska,31081,Hamilton County,Aurora
Nebraska,31083,Harlan County,Alma
Nebraska,31085,Hayes County,Hayes Center
Nebraska,31087,Hitchcock County,Trenton
Nebraska,31089,Holt County,O'Neill
Nebraska,31091,Hooker County,Mullen
Nebraska,31093,Howard County,Saint Paul
Nebraska,31095,Jefferson County,Fairbury
Nebraska,31097,Johnson County,Tecumseh
Nebraska,31099,Kearney County,Minden
Nebraska,31101,Keith County,Ogallala
Nebraska,31103,Keya Paha County,Springview
Nebraska,31105,Kimball County,Kimball
Nebraska,31107,Knox County,Center
Nebraska,31109,Lancaster County,Lincoln
Nebraska,31111,Lincoln County,North Platte
Nebraska,31113,Logan County,Stapleton
Nebraska,31115,Loup County,Taylor
Nebraska,31119,Madison County,Madison
Nebraska,31117,McPherson County,Tryon
Nebraska,31121,Merrick County,Central City
Nebraska,31123,Morrill County,Bridgeport
Nebraska,31125,Nance County,Fullerton
Nebraska,31127,Nemaha County,Auburn
Nebraska,31129,Nuckolls County,Nelson
Nebraska,31131,Otoe County,Nebraska City
Nebraska,31133,Pawnee County,Pawnee City
Nebraska,31135,Perkins County,Grant
Nebraska,31137,Phelps County,Holdrege
Nebraska,31139,Pierce County,Pierce
Nebraska,31141,Platte County,Columbus
Nebraska,31143,Polk County,Osceola
Nebraska,31145,Red Willow County,McCook
Nebraska,31147,Richardson County,Falls City
Nebraska,31149,Rock County,Bassett
Nebraska,31151,Saline County,Wilber
Nebraska,31153,Sarpy County,Papillion
Nebraska,31155,Saunders County,Wahoo
Nebraska,31157,Scotts Bluff County,Gering
Nebraska,31159,Seward County,Seward
Nebraska,31161,Sheridan County,Rushville
Nebraska,31163,Sherman County,Loup City
Nebraska,31165,Sioux County,Harrison
Nebraska,31167,Stanton County,Stanton
Nebraska,31169,Thayer County,Hebron
Nebraska,31171,Thomas County,Thedford
Nebraska,31173,Thurston County,Pender
Nebraska,31175,Valley County,Ord
Nebraska,31177,Washington County,Blair
Nebraska,31179,Wayne County,Wayne
Nebraska,31181,Webster County,Red Cloud
Nebraska,31183,Wheeler County,Bartlett
Nebraska,31185,York County,York
Nevada,32001,Churchill County,Fallon
Nevada,32003,Clark County,Las Vegas
Nevada,32005,Douglas County,Minden
Nevada,32007,Elko County,Elko
Nevada,32009,Esmeralda County,Goldfield
Nevada,32011,Eureka County,Eureka
Nevada,32013,Humboldt County,Winnemucca
Nevada,32015,Lander County,Battle Mountain
Nevada,32017,Lincoln County,Pioche
Nevada,32019,Lyon County,Yerington
Nevada,32021,Mineral County,Hawthorne
Nevada,32023,Nye County,Tonopah
Nevada,32027,Pershing County,Lovelock
Nevada,32029,Storey County,Virginia City
Nevada,32031,Washoe County,Reno
Nevada,32033,White Pine County,Ely
New Hampshire,33001,Belknap County,Laconia
New Hampshire,33003,Carroll County,Ossipee
New Hampshire,33005,Cheshire County,Keene
New Hampshire,33007,Coos County,Lancaster
New Hampshire,33009,Grafton County,North Haverhill
New Hampshire,33011,Hillsborough County,Nashua
New Hampshire,33013,Merrimack County,Concord
